Word,American,English
a's,NULL,NULL
aaa,NULL,ˌeɪ eɪ ˈeɪ
aaberg,NULL,NULL
aachen,"ˈɑkən, ˈɑūən",ˈɑ:kən
aachener,NULL,NULL
aaker,NULL,NULL
aalseth,NULL,NULL
aamodt,NULL,NULL
aancor,NULL,NULL
aardvark,ˈɑrdvɑrk,ˈɑ:dvɑ:k
aaron,"ˈɛrən, ˈær-",ˈɛərən
aaron's,NULL,NULL
aarons,NULL,NULL
aaronson,NULL,NULL
aaronson's,NULL,NULL
aarti,NULL,NULL
aase,NULL,NULL
aasen,NULL,NULL
ab,NULL,æb
ababa,NULL,NULL
abacha,NULL,NULL
aback,əˈbæk,əˈbæk
abaco,NULL,NULL
abacus,ˈæbəkəs,ˈæbəkəs
abad,NULL,NULL
abadi,NULL,NULL
abadie,NULL,NULL
abair,NULL,NULL
abalkin,NULL,NULL
abalone,ˌæbəˈloʊni,ˌæbəˈləʊni
abalos,NULL,NULL
abandon,əˈbændən,əˈbændən
abandoned,əˈbændənd,əˈbændənd
abandoning,NULL,əˈbændənɪŋ
abandonment,əˈbændənmənt,əˈbændənmənt
abandonments,NULL,NULL
abandons,NULL,əˈbændənz
abarca,NULL,NULL
abare,NULL,NULL
abash,əˈbæʃ,ə'bæʃ
abashed,NULL,əˈbæʃt
abate,əˈbet,əˈbeɪt
abated,NULL,əˈbeɪtid
abatement,əˈbetmənt,ə'beɪtmənt
abatements,NULL,NULL
abates,NULL,əˈbeɪts
abating,ə'beɪtɪŋ,ə'beɪtɪŋ
abba,NULL,NULL
abbado,əˈbɑdo,əˈbɑ:dəʊ
abbas,NULL,NULL
abbasi,NULL,NULL
abbate,NULL,NULL
abbe,'æbeɪ,'æbeɪ
abbenhaus,NULL,NULL
abbett,NULL,NULL
abbeville,NULL,'æbivil
abbey,ˈæbi,ˈæbi
abbey's,NULL,NULL
abbie,NULL,'æbi:
abbitt,NULL,NULL
abbot,'æbət,ˈæbət
abbott,ˈæbət,ˈæbət
abbott's,NULL,NULL
abboud,NULL,NULL
abbreviate,əˈbriviˌet,əˈbri:vieɪt
abbreviated,ə'brivɪeɪtɪd,ə'bri:vɪeɪtɪd
abbreviates,NULL,əˈbri:vi:ˌeɪts
abbreviating,NULL,əˈbri:vi:ˌeɪtɪŋ
abbreviation,əˌbriviˈeʃən,əˌbri:viˈeɪʃn
abbreviations,əbriv'ɪeɪʃnz,əbri:v'ɪeɪʃnz
abbs,NULL,NULL
abby,NULL,ˈæbi
abco,NULL,NULL
abdalla,NULL,NULL
abdallah,NULL,NULL
abdel,NULL,NULL
abdella,NULL,NULL
abdicate,ˈæbdɪˌket,ˈæbdɪkeɪt
abdicated,NULL,ˈæbdɪˌkeɪtid
abdicates,NULL,ˈæbdɪˌkeɪts
abdicating,NULL,ˈæbdɪˌkeɪtɪŋ
abdication,ˌæbdɪ'keɪʃn,ˌæbdɪ'keɪʃn
abdnor,NULL,NULL
abdo,NULL,NULL
abdollah,NULL,NULL
abdomen,ˈæbdəmən,ˈæbdəmən
abdominal,æbˈdɑmɪnl,æbˈdɒmɪnl
abduct,æbˈdʌkt,æbˈdʌkt
abducted,NULL,æbˈdʌktid
abductee,NULL,NULL
abductees,NULL,NULL
abducting,NULL,æbˈdʌktɪŋ
abduction,æb'dʌkʃn,æb'dʌkʃn
abductions,NULL,NULL
abductor,æbˈdʌktɚ,æbˈdʌktə(r)
abductors,NULL,NULL
abducts,NULL,æbˈdʌkts
abdul,NULL,'ɑbdul
abdulaziz,NULL,NULL
abdulla,NULL,NULL
abdullah,NULL,",æb'dʌlə"
abe,NULL,eib
abed,əˈbɛd,əˈbed
abedi,NULL,NULL
abee,ə'bi,ə'bi:
abel,NULL,NULL
abela,NULL,NULL
abelard,ˈæbəˌlɑrd,ˈæbəˌlɑ:d
abele,ə'bil,ə'bi:l
abeles,NULL,NULL
abell,NULL,NULL
abella,NULL,NULL
abeln,NULL,NULL
abelow,NULL,NULL
abels,NULL,NULL
abelson,NULL,'eibəlsən
abend,ə'bend,ə'bend
abendroth,NULL,NULL
aber,'æbə,'æbə
abercrombie,NULL,"'æbə,krɑmbɪ"
aberdeen,NULL,ˌæbəˈdi:n
aberford,NULL,NULL
aberg,NULL,NULL
aberle,NULL,NULL
abermin,NULL,NULL
abernathy,ˈæbɚˌnæθi,ˈæbəˌnæθi:
abernethy,NULL,NULL
aberrant,"æˈbɛrənt, ˈæbə-",æˈberənt
aberration,ˌæbəˈreʃən,ˌæbəˈreɪʃn
aberrational,NULL,NULL
aberrations,æbə'reɪʃnz,æbə'reɪʃnz
abert,NULL,NULL
abet,əˈbɛt,əˈbet
abetted,NULL,əˈbetid
abetting,NULL,əˈbetɪŋ
abex,NULL,NULL
abeyance,əˈbeəns,əˈbeɪəns
abhor,æbˈhɔr,əbˈhɔ:(r)
abhorred,NULL,æbˈhɔ:d
abhorrence,əbˈhɔrəns,əbˈhɒrəns
abhorrent,əbˈhɔrənt,əbˈhɒrənt
abhors,NULL,æbˈhɔ:z
abiam,NULL,NULL
abiam's,NULL,NULL
abid,NULL,NULL
abide,əˈbaɪd,əˈbaɪd
abided,NULL,NULL
abides,NULL,əˈbaidz
