Word,American,English
aachen%0A,"ˈɑkən, ˈɑūən",ˈɑ:kən
aardvark%0A,ˈɑrdvɑrk,ˈɑ:dvɑ:k
aaron%0A,"ˈɛrən, ˈær-",ˈɛərən
abacus%0A,ˈæbəkəs,ˈæbəkəs
aback%0A,əˈbæk,əˈbæk
abalone%0A,ˌæbəˈloʊni,ˌæbəˈləʊni
abandoned%0A,əˈbændənd,əˈbændənd
abandon%0A,əˈbændən,əˈbændən
abandonment%0A,əˈbændənmənt,əˈbændənmənt
abash%0A,əˈbæʃ,ə'bæʃ
abate%0A,əˈbet,əˈbeɪt
abatement%0A,əˈbetmənt,ə'beɪtmənt
abating%0A,ə'beɪtɪŋ,ə'beɪtɪŋ
abbado%0A,əˈbɑdo,əˈbɑ:dəʊ
abbe%0A,'æbeɪ,'æbeɪ
abbey%0A,ˈæbi,ˈæbi
abbot%0A,'æbət,ˈæbət
abbott%0A,ˈæbət,ˈæbət
abbreviate%0A,əˈbriviˌet,əˈbri:vieɪt
abbreviated%0A,ə'brivɪeɪtɪd,ə'bri:vɪeɪtɪd
abbreviation%0A,əˌbriviˈeʃən,əˌbri:viˈeɪʃn
abbreviations%0A,əbriv'ɪeɪʃnz,əbri:v'ɪeɪʃnz
abdication%0A,ˌæbdɪ'keɪʃn,ˌæbdɪ'keɪʃn
abdomen%0A,ˈæbdəmən,ˈæbdəmən
abduct%0A,æbˈdʌkt,æbˈdʌkt
abdominal%0A,æbˈdɑmɪnl,æbˈdɒmɪnl
abdicate%0A,ˈæbdɪˌket,ˈæbdɪkeɪt
abduction%0A,æb'dʌkʃn,æb'dʌkʃn
abductor%0A,æbˈdʌktɚ,æbˈdʌktə(r)
abed%0A,əˈbɛd,əˈbed
abee%0A,ə'bi,ə'bi:
abele%0A,ə'bil,ə'bi:l
abelard%0A,ˈæbəˌlɑrd,ˈæbəˌlɑ:d
abend%0A,ə'bend,ə'bend
aber%0A,'æbə,'æbə
abernathy%0A,ˈæbɚˌnæθi,ˈæbəˌnæθi:
aberrant%0A,"æˈbɛrənt, ˈæbə-",æˈberənt
aberration%0A,ˌæbəˈreʃən,ˌæbəˈreɪʃn
aberrations%0A,æbə'reɪʃnz,æbə'reɪʃnz
abet%0A,əˈbɛt,əˈbet
abeyance%0A,əˈbeəns,əˈbeɪəns
abhor%0A,æbˈhɔr,əbˈhɔ:(r)
abhorrence%0A,əbˈhɔrəns,əbˈhɒrəns
abhorrent%0A,əbˈhɔrənt,əbˈhɒrənt
abide%0A,əˈbaɪd,əˈbaɪd
abidjan%0A,ˌæbɪˈdʒɑn,ˌæbiˈdʒɑ:n
abiding%0A,əˈbaɪdɪŋ,əˈbaɪdɪŋ
abilene%0A,ˈæbəˌlin,ˈæbəˌli:n
ability%0A,əˈbɪlɪti,əˈbɪləti
abject%0A,"ˈæbˌdʒɛkt, æbˈdʒɛkt",ˈæbdʒekt
abkhazia%0A,"æbˈkeʒə, -ziə, -ˈkɑ-, ɑb-","æbˈkeɪʒə, -zi:ə, -ˈkɑ:-, ɑ:b-"
ablaze%0A,əˈblez,əˈbleɪz
abkhazian%0A,"æbˈkeʒən, -ziən, -ˈkɑ-, ɑb-","æbˈkeɪʒən, -zi:ən, -ˈkɑ:-, ɑ:b-"
able%0A,ˈebəl,ˈeɪbl
abloom%0A,ə'blum,ə'blu:m
ably%0A,ˈeɪbli,ˈeɪbli
abnormality%0A,ˌæbnɔrˈmæləti,ˌæbnɔ:ˈmæləti
abnormal%0A,æbˈnɔrml,æbˈnɔ:ml
abnormalities%0A,ˌæbnɔ'mælɪtɪz,ˌæbnɔ:'mælɪtɪz
abnormally%0A,æb'nɔməlɪ,æb'nɔ:məlɪ
aboard%0A,əˈbɔrd,əˈbɔ:d
abode%0A,əˈboʊd,əˈbəʊd
abolish%0A,əˈbɑlɪʃ,əˈbɒlɪʃ
abolition%0A,ˌæbəˈlɪʃən,ˌæbəˈlɪʃn
abominable%0A,əˈbɑmɪnəbl,əˈbɒmɪnəbl
abomination%0A,əˌbɑmɪˈneɪʃn,əˌbɒmɪˈneɪʃn
aboriginal%0A,ˌæbəˈrɪdʒənəl,ˌæbəˈrɪdʒənl
aborigines%0A,ˌæbə'rɪdʒɪniz,ˌæbə'rɪdʒɪni:z
aborigine%0A,ˌæbə'rɪdʒənɪ,ˌæbəˈrɪdʒəni
abort%0A,əˈbɔrt,əˈbɔ:t
aborted%0A,ə'bɔtɪd,ə'bɔ:tɪd
abortifacient%0A,əˌbɔtə'feɪʃənt,əˌbɔ:tə'feɪʃənt
aborting%0A,ə'bɔtɪŋ,ə'bɔ:tɪŋ
abortion%0A,əˈbɔrʃn,əˈbɔ:ʃn
